ダウンロードした時刻：2020/07/09 13:56:32

,所沢,所沢,所沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2015/12/19,5.3,8,1
2015/12/20,5.1,8,1
2015/12/21,7.0,8,1
2015/12/22,8.9,8,1
2015/12/23,5.1,8,1
2015/12/24,9.3,8,1
2015/12/25,9.0,8,1
2015/12/26,6.1,8,1
2015/12/27,4.6,8,1
2015/12/28,3.7,8,1
2015/12/29,5.1,8,1
2015/12/30,5.7,8,1
2015/12/31,5.1,8,1
2016/1/1,5.4,8,1
2016/1/2,5.4,8,1
2016/1/3,7.4,8,1
2016/1/4,8.0,8,1
2016/1/5,8.8,8,1
2016/1/6,6.6,8,1
2016/1/7,6.2,8,1
2016/1/8,3.9,8,1
2016/1/9,4.8,8,1
2016/1/10,5.7,8,1
2016/1/11,5.1,8,1
2016/1/12,2.0,8,1
2016/1/13,2.4,8,1
2016/1/14,4.2,8,1
2016/1/15,5.0,8,1
2016/1/16,5.6,8,1
2016/1/17,3.9,8,1
2016/1/18,2.2,8,1
2016/1/19,3.4,8,1
2016/1/20,2.9,8,1
2016/1/21,3.7,8,1
2016/1/22,3.8,8,1
2016/1/23,2.6,8,1
2016/1/24,1.2,8,1
2016/1/25,0.9,8,1
2016/1/26,2.3,8,1
2016/1/27,4.4,8,1
2016/1/28,6.2,8,1
2016/1/29,3.8,8,1
2016/1/30,2.3,8,1
2016/1/31,4.9,8,1
2016/2/1,3.0,8,1
2016/2/2,4.2,8,1
2016/2/3,3.2,8,1
2016/2/4,3.6,8,1
2016/2/5,5.4,8,1
2016/2/6,5.3,8,1
2016/2/7,2.7,8,1
2016/2/8,2.1,8,1
2016/2/9,4.7,8,1
2016/2/10,4.9,8,1
2016/2/11,4.3,8,1
2016/2/12,5.6,8,1
2016/2/13,12.0,8,1
2016/2/14,16.5,8,1
2016/2/15,6.1,8,1
2016/2/16,3.0,8,1
2016/2/17,3.6,8,1
2016/2/18,3.8,8,1
